source,target,type,weight
0,1,spatial,0.0
0,2,spatial,0.0
0,3,spatial,0.0
0,4,spatial,0.0
0,5,spatial,0.0
0,6,spatial,0.0
0,7,spatial,0.0
0,8,spatial,0.0
1,0,spatial,0.0
1,2,spatial,0.0
1,3,spatial,0.0
1,4,spatial,0.0
1,5,spatial,0.0
1,6,spatial,0.0
1,7,spatial,0.0
1,8,spatial,0.0
2,0,spatial,0.0
2,1,spatial,0.0
2,3,spatial,0.0
2,4,spatial,0.0
2,5,spatial,0.0
2,6,spatial,0.0
2,7,spatial,0.0
2,8,spatial,0.0
3,0,spatial,0.0
3,1,spatial,0.0
3,2,spatial,0.0
3,4,spatial,0.0
3,5,spatial,0.0
3,6,spatial,0.0
3,7,spatial,0.0
3,8,spatial,0.0
4,0,spatial,0.0
4,1,spatial,0.0
4,2,spatial,0.0
4,3,spatial,0.0
4,5,spatial,0.0
4,6,spatial,0.0
4,7,spatial,0.0
4,8,spatial,0.0
5,0,spatial,0.0
5,1,spatial,0.0
5,2,spatial,0.0
5,3,spatial,0.0
5,4,spatial,0.0
5,6,spatial,0.0
5,7,spatial,0.0
5,8,spatial,0.0
6,0,spatial,0.0
6,1,spatial,0.0
6,2,spatial,0.0
6,3,spatial,0.0
6,4,spatial,0.0
6,5,spatial,0.0
6,7,spatial,0.0
6,8,spatial,0.0
7,0,spatial,0.0
7,1,spatial,0.0
7,2,spatial,0.0
7,3,spatial,0.0
7,4,spatial,0.0
7,5,spatial,0.0
7,6,spatial,0.0
7,8,spatial,0.0
8,0,spatial,0.0
8,1,spatial,0.0
8,2,spatial,0.0
8,3,spatial,0.0
8,4,spatial,0.0
8,5,spatial,0.0
8,6,spatial,0.0
8,7,spatial,0.0
9,0,spatial,0.0
9,1,spatial,0.0
9,2,spatial,0.0
9,3,spatial,0.0
9,4,spatial,0.0
9,5,spatial,0.0
9,6,spatial,0.0
9,7,spatial,0.0
10,0,spatial,0.0
10,1,spatial,0.0
10,2,spatial,0.0
10,3,spatial,0.0
10,4,spatial,0.0
10,5,spatial,0.0
10,6,spatial,0.0
10,7,spatial,0.0
11,0,spatial,0.0
11,1,spatial,0.0
11,2,spatial,0.0
11,3,spatial,0.0
11,4,spatial,0.0
11,5,spatial,0.0
11,6,spatial,0.0
11,7,spatial,0.0
12,0,spatial,0.0
12,1,spatial,0.0
12,2,spatial,0.0
12,3,spatial,0.0
12,4,spatial,0.0
